,,,,,,
,RESOLUCION Nº,1701/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 29/08/2019,,,70/2023 PUBLICADA EN EL BOLETIN OFICIAL EL 20/12/2023,
,,,,,,
,VIGENCIA,11/1/2019,,,7/1/2025,
,,,,,,
,CANAL,SWISS MEDICAL,,,SWISS MEDICAL,AUMENTO: %
,,,,,,
,MODO INGRESO,ADHERENTE LISTA 0WV5 2019,OSPADEP,,LISTA 0WV5 - 2025,
,,LISTA 0WV5  2019,,,DIST. SUP. LISTA 0WV5 - 2025,
,,DIST. SUP. LISTA 0WV5 2019,,,,
,,GENUINO LISTA 0WW7 2019,OSDAAP,,,
,,DIST. SUP. LISTA 0WW7 2019,,,,
,PLAN,,,,SB02,
,Por Cápita,SB02,,,"$ 183,331",
,Mayor de 65 Años,"$ 4,647",,,"$ 622,048",
,,,,,,
,,"$ 11,092",,,,
