,,,,,,,,
,,,,,,,,
,RESOLUCION Nº,,,,,70/2023 PUBLICADA EN EL BOLETIN OFICIAL EL 20/12/2023,,
,,,,,,,,
,VIGENCIA,9/1/2019,,,,7/1/2025,,
,,,,,,,AUMENTO: %,
,,,,,,,,
,CANAL,SWISS MEDICAL,,,,SWISS MEDICAL,,
,,,,,,,,
,MODO DE INGRESO,LISTA 0SW1 2019,OSPADEP,,,LISTA 0SW1 - 2025,,
,,LISTA 0SD3 2019,OSDAAP,,,DIST. SUP. LISTA 0SW1 - 2025,,
,,,,,,,,
,PLANES,PO62,,,,PO62,,
,,PO64,,,,PO64,,
,,SB04,,,,SB04,,
,,,,,,,,
,,,,,,,,
,,PO62,PO64,SBO4,,PO62,PO64,SBO4
,CAPITA MENOR O IGUAL A 65 AÑOS," $ 6,039 "," $ 7,234 "," $ 4,718 ",," $ 238,263 "," $ 285,705 "," $ 187,902 "
,CAPITA MAYOR A 65 AÑOS," $ 11,481 "," $ 13,745 "," $ 8,241 ",," $ 692,337 "," $ 829,031 "," $ 513,838 "
,,,SOLO OSPADEP,,,,,
